id,cons_path,shop_path
1024,000004939.jpg,000071272.jpg
1024,000004939.jpg,000071273.jpg
1024,000004939.jpg,000071274.jpg
1024,000004939.jpg,000071275.jpg
1024,000002560.jpg,000071272.jpg
1024,000002560.jpg,000071273.jpg
1024,000002560.jpg,000071274.jpg
1024,000002560.jpg,000071275.jpg
1024,000002560.jpg,000071272.jpg
1024,000002560.jpg,000071273.jpg
1024,000002560.jpg,000071274.jpg
1024,000002560.jpg,000071275.jpg
1024,000004939.jpg,000071272.jpg
1024,000004939.jpg,000071273.jpg
1024,000004939.jpg,000071274.jpg
1024,000004939.jpg,000071275.jpg
5651,000100642.jpg,000039568.jpg
5651,000100642.jpg,000039569.jpg
5651,000100642.jpg,000039570.jpg
5651,000100642.jpg,000039571.jpg
5651,000002177.jpg,000039568.jpg
5651,000002177.jpg,000039569.jpg
5651,000002177.jpg,000039570.jpg
5651,000002177.jpg,000039571.jpg
5651,000008035.jpg,000039568.jpg
5651,000008035.jpg,000039569.jpg
5651,000008035.jpg,000039570.jpg
5651,000008035.jpg,000039571.jpg
5651,000002177.jpg,000039568.jpg
5651,000002177.jpg,000039569.jpg
5651,000002177.jpg,000039570.jpg
5651,000002177.jpg,000039571.jpg
5651,000100642.jpg,000039568.jpg
5651,000100642.jpg,000039569.jpg
5651,000100642.jpg,000039570.jpg
5651,000100642.jpg,000039571.jpg
5651,000008035.jpg,000039568.jpg
5651,000008035.jpg,000039569.jpg
5651,000008035.jpg,000039570.jpg
5651,000008035.jpg,000039571.jpg
5651,000006817.jpg,000039568.jpg
5651,000006817.jpg,000039569.jpg
5651,000006817.jpg,000039570.jpg
5651,000006817.jpg,000039571.jpg
5651,000006817.jpg,000039568.jpg
5651,000006817.jpg,000039569.jpg
5651,000006817.jpg,000039570.jpg
5651,000006817.jpg,000039571.jpg
5651,000002177.jpg,000039568.jpg
5651,000002177.jpg,000039569.jpg
5651,000002177.jpg,000039570.jpg
5651,000002177.jpg,000039571.jpg
2600,000010135.jpg,000043126.jpg
2600,000010135.jpg,000043127.jpg
2600,000010135.jpg,000043128.jpg
2600,000010135.jpg,000043129.jpg
2600,000010135.jpg,000043130.jpg
2600,000013826.jpg,000043126.jpg
2600,000013826.jpg,000043127.jpg
2600,000013826.jpg,000043128.jpg
2600,000013826.jpg,000043129.jpg
2600,000013826.jpg,000043130.jpg
2600,000010135.jpg,000043126.jpg
2600,000010135.jpg,000043127.jpg
2600,000010135.jpg,000043128.jpg
2600,000010135.jpg,000043129.jpg
2600,000010135.jpg,000043130.jpg
2600,000015922.jpg,000043126.jpg
2600,000015922.jpg,000043127.jpg
2600,000015922.jpg,000043128.jpg
2600,000015922.jpg,000043129.jpg
2600,000015922.jpg,000043130.jpg
2600,000013826.jpg,000043126.jpg
2600,000013826.jpg,000043127.jpg
2600,000013826.jpg,000043128.jpg
2600,000013826.jpg,000043129.jpg
2600,000013826.jpg,000043130.jpg
2600,000015922.jpg,000043126.jpg
2600,000015922.jpg,000043127.jpg
2600,000015922.jpg,000043128.jpg
2600,000015922.jpg,000043129.jpg
2600,000015922.jpg,000043130.jpg
1579,000003982.jpg,000063011.jpg
1579,000003982.jpg,000063012.jpg
