,n_items_real,n_items_dataset,percentage_items_loss,category
0,1359,1535,11.465798045602604,train_pairs_bags
1,132,151,12.58278145695364,train_pairs_belts
2,13517,14681,7.928615216947077,train_pairs_dresses
3,143,186,23.118279569892476,train_pairs_eyewear
4,6250,6552,4.609279609279604,train_pairs_footwear
5,199,236,15.677966101694917,train_pairs_hats
6,566,703,19.48790896159317,train_pairs_leggings
7,2143,2444,12.31587561374795,train_pairs_outerwear
8,483,547,11.700182815356486,train_pairs_pants
9,1555,1723,9.750435287289616,train_pairs_skirts
10,4077,4594,11.253809316499785,train_pairs_tops
11,30424,33352,12.71735745407794,train_total
