id,cons,shop,left,width,top,height
6148,15445,70819,1012,464,949,544
6148,15445,70819,983,464,932,527
6148,15445,70821,1012,464,949,544
6148,15445,70821,983,464,932,527
6148,15445,70822,1012,464,949,544
6148,15445,70822,983,464,932,527
6148,15445,70823,1012,464,949,544
6148,15445,70823,983,464,932,527
6148,15445,97599,1012,464,949,544
6148,15445,97599,983,464,932,527
6148,15445,97600,1012,464,949,544
6148,15445,97600,983,464,932,527
6148,13029,70819,115,126,205,151
6148,13029,70819,83,171,195,159
6148,13029,70821,115,126,205,151
6148,13029,70821,83,171,195,159
6148,13029,70822,115,126,205,151
6148,13029,70822,83,171,195,159
6148,13029,70823,115,126,205,151
6148,13029,70823,83,171,195,159
6148,13029,97599,115,126,205,151
6148,13029,97599,83,171,195,159
6148,13029,97600,115,126,205,151
6148,13029,97600,83,171,195,159
6148,2425,70819,1520,1128,1929,1165
6148,2425,70819,1584,1100,1808,1408
6148,2425,70821,1520,1128,1929,1165
6148,2425,70821,1584,1100,1808,1408
6148,2425,70822,1520,1128,1929,1165
6148,2425,70822,1584,1100,1808,1408
6148,2425,70823,1520,1128,1929,1165
6148,2425,70823,1584,1100,1808,1408
6148,2425,97599,1520,1128,1929,1165
6148,2425,97599,1584,1100,1808,1408
6148,2425,97600,1520,1128,1929,1165
6148,2425,97600,1584,1100,1808,1408
2053,3127,63329,282,324,395,344
2053,3127,63329,352,277,397,326
2053,3127,63330,282,324,395,344
2053,3127,63330,352,277,397,326
2053,3127,63331,282,324,395,344
2053,3127,63331,352,277,397,326
2053,3127,63332,282,324,395,344
2053,3127,63332,352,277,397,326
2053,3127,63333,282,324,395,344
2053,3127,63333,352,277,397,326
11,135,20266,90,297,216,270
11,135,20266,90,296,229,241
11,135,20267,90,297,216,270
11,135,20267,90,296,229,241
11,135,20268,90,297,216,270
11,135,20268,90,296,229,241
11,135,20269,90,297,216,270
11,135,20269,90,296,229,241
4107,857,65587,60,246,108,129
4107,857,65587,70,221,78,179
4107,857,65588,60,246,108,129
4107,857,65588,70,221,78,179
4107,857,65589,60,246,108,129
4107,857,65589,70,221,78,179
4107,857,65590,60,246,108,129
4107,857,65590,70,221,78,179
4107,8668,65587,746,801,1497,950
4107,8668,65587,844,598,1618,785
4107,8668,65588,746,801,1497,950
4107,8668,65588,844,598,1618,785
4107,8668,65589,746,801,1497,950
4107,8668,65589,844,598,1618,785
4107,8668,65590,746,801,1497,950
4107,8668,65590,844,598,1618,785
4107,15050,65587,1217,637,1409,505
4107,15050,65587,1223,598,1426,478
4107,15050,65588,1217,637,1409,505
4107,15050,65588,1223,598,1426,478
4107,15050,65589,1217,637,1409,505
4107,15050,65589,1223,598,1426,478
4107,15050,65590,1217,637,1409,505
4107,15050,65590,1223,598,1426,478
4108,1535,67235,328,535,774,555
4108,1535,67235,310,528,802,538
4108,1535,67236,328,535,774,555
4108,1535,67236,310,528,802,538
4108,1535,67237,328,535,774,555
4108,1535,67237,310,528,802,538
4108,1535,67238,328,535,774,555
4108,1535,67238,310,528,802,538
27,175,63877,675,485,1095,509
27,175,63877,585,601,1095,573
27,175,63878,675,485,1095,509
27,175,63878,585,601,1095,573
27,175,63879,675,485,1095,509
27,175,63879,585,601,1095,573
27,175,63880,675,485,1095,509
27,175,63880,585,601,1095,573
4129,6079,77680,921,1108,2114,965
4129,6079,77680,1092,700,2200,815
4129,6079,77681,921,1108,2114,965
4129,6079,77681,1092,700,2200,815
4129,6079,77683,921,1108,2114,965
4129,6079,77683,1092,700,2200,815
4129,6079,77685,921,1108,2114,965
4129,6079,77685,1092,700,2200,815
4129,6079,77686,921,1108,2114,965
4129,6079,77686,1092,700,2200,815
4129,6079,77688,921,1108,2114,965
4129,6079,77688,1092,700,2200,815
4129,5644,77680,222,85,262,35
4129,5644,77680,352,260,215,183
4129,5644,77680,362,247,225,158
4129,5644,77681,222,85,262,35
4129,5644,77681,352,260,215,183
4129,5644,77681,362,247,225,158
4129,5644,77683,222,85,262,35
4129,5644,77683,352,260,215,183
4129,5644,77683,362,247,225,158
4129,5644,77685,222,85,262,35
4129,5644,77685,352,260,215,183
4129,5644,77685,362,247,225,158
4129,5644,77686,222,85,262,35
4129,5644,77686,352,260,215,183
4129,5644,77686,362,247,225,158
4129,5644,77688,222,85,262,35
4129,5644,77688,352,260,215,183
4129,5644,77688,362,247,225,158
4129,11237,77680,291,446,545,309
4129,11237,77680,260,444,558,303
4129,11237,77681,291,446,545,309
4129,11237,77681,260,444,558,303
4129,11237,77683,291,446,545,309
4129,11237,77683,260,444,558,303
4129,11237,77685,291,446,545,309
4129,11237,77685,260,444,558,303
4129,11237,77686,291,446,545,309
4129,11237,77686,260,444,558,303
4129,11237,77688,291,446,545,309
4129,11237,77688,260,444,558,303
4137,12011,89530,286,482,533,497
4137,12011,89530,343,402,586,399
4137,12011,89531,286,482,533,497
4137,12011,89531,343,402,586,399
4137,12011,89532,286,482,533,497
4137,12011,89532,343,402,586,399
4137,14414,89530,320,1020,1253,1160
4137,14414,89530,233,1155,1247,1172
4137,14414,89531,320,1020,1253,1160
4137,14414,89531,233,1155,1247,1172
4137,14414,89532,320,1020,1253,1160
4137,14414,89532,233,1155,1247,1172
6186,1825,70309,433,827,1152,1091
6186,1825,70309,495,744,1141,1029
6186,1825,70310,433,827,1152,1091
6186,1825,70310,495,744,1141,1029
6186,1825,70311,433,827,1152,1091
6186,1825,70311,495,744,1141,1029
6186,1825,70312,433,827,1152,1091
6186,1825,70312,495,744,1141,1029
6186,6874,70309,371,120,240,116
6186,6874,70309,348,158,241,127
6186,6874,70310,371,120,240,116
6186,6874,70310,348,158,241,127
6186,6874,70311,371,120,240,116
6186,6874,70311,348,158,241,127
