id,left,width,top,height,cons_path,shop_path
515,197,214,128,131,000013774.jpg,000047705.jpg
515,189,248,117,155,000013774.jpg,000047705.jpg
515,197,214,128,131,000013774.jpg,000047706.jpg
515,189,248,117,155,000013774.jpg,000047706.jpg
515,327,423,219,285,000012654.jpg,000047705.jpg
515,348,414,219,285,000012654.jpg,000047705.jpg
515,327,423,219,285,000012654.jpg,000047706.jpg
515,348,414,219,285,000012654.jpg,000047706.jpg
515,775,473,582,368,000098583.jpg,000047705.jpg
515,775,461,600,327,000098583.jpg,000047705.jpg
515,775,473,582,368,000098583.jpg,000047706.jpg
515,775,461,600,327,000098583.jpg,000047706.jpg
515,608,263,635,235,000011855.jpg,000047705.jpg
515,562,332,612,226,000011855.jpg,000047705.jpg
515,608,263,635,235,000011855.jpg,000047706.jpg
515,562,332,612,226,000011855.jpg,000047706.jpg
1528,256,71,3,68,000016228.jpg,000058289.jpg
1528,257,103,13,64,000016228.jpg,000058289.jpg
1528,256,71,3,68,000016228.jpg,000058291.jpg
1528,257,103,13,64,000016228.jpg,000058291.jpg
1528,189,93,36,49,000001614.jpg,000058289.jpg
1528,192,79,34,44,000001614.jpg,000058289.jpg
1528,189,93,36,49,000001614.jpg,000058291.jpg
1528,192,79,34,44,000001614.jpg,000058291.jpg
530,1078,653,821,321,000001415.jpg,000068244.jpg
530,1031,665,792,356,000001415.jpg,000068244.jpg
530,1078,653,821,321,000001415.jpg,000068245.jpg
530,1031,665,792,356,000001415.jpg,000068245.jpg
1555,674,115,454,140,000017289.jpg,000054921.jpg
1555,658,165,464,119,000017289.jpg,000054921.jpg
1555,674,115,454,140,000017289.jpg,000054922.jpg
1555,658,165,464,119,000017289.jpg,000054922.jpg
1555,102,133,77,92,000017630.jpg,000054921.jpg
1555,68,156,70,106,000017630.jpg,000054921.jpg
1555,411,136,76,113,000017630.jpg,000054921.jpg
1555,391,148,86,128,000017630.jpg,000054921.jpg
1555,102,133,77,92,000017630.jpg,000054922.jpg
1555,68,156,70,106,000017630.jpg,000054922.jpg
1555,411,136,76,113,000017630.jpg,000054922.jpg
1555,391,148,86,128,000017630.jpg,000054922.jpg
1555,175,210,97,166,000002434.jpg,000054921.jpg
1555,190,242,146,59,000002434.jpg,000054921.jpg
1555,724,205,107,135,000002434.jpg,000054921.jpg
1555,175,210,97,166,000002434.jpg,000054922.jpg
1555,190,242,146,59,000002434.jpg,000054922.jpg
1555,724,205,107,135,000002434.jpg,000054922.jpg
1555,108,132,308,71,000007616.jpg,000054921.jpg
1555,120,112,320,58,000007616.jpg,000054921.jpg
1555,108,132,308,71,000007616.jpg,000054922.jpg
1555,120,112,320,58,000007616.jpg,000054922.jpg
1555,411,282,355,178,000001123.jpg,000054921.jpg
1555,437,234,355,152,000001123.jpg,000054921.jpg
1555,411,282,355,178,000001123.jpg,000054922.jpg
1555,437,234,355,152,000001123.jpg,000054922.jpg
1555,255,250,232,118,000008717.jpg,000054921.jpg
1555,329,145,235,130,000008717.jpg,000054921.jpg
1555,255,250,232,118,000008717.jpg,000054922.jpg
1555,329,145,235,130,000008717.jpg,000054922.jpg
1555,208,227,132,168,000007754.jpg,000054921.jpg
1555,184,274,93,159,000007754.jpg,000054921.jpg
1555,208,227,132,168,000007754.jpg,000054922.jpg
1555,184,274,93,159,000007754.jpg,000054922.jpg
1555,75,61,229,38,000001422.jpg,000054921.jpg
1555,66,65,212,60,000001422.jpg,000054921.jpg
1555,75,61,229,38,000001422.jpg,000054922.jpg
1555,66,65,212,60,000001422.jpg,000054922.jpg
1555,260,261,297,160,000015759.jpg,000054921.jpg
1555,274,250,278,202,000015759.jpg,000054921.jpg
1555,260,261,297,160,000015759.jpg,000054922.jpg
1555,274,250,278,202,000015759.jpg,000054922.jpg
1555,1755,856,1195,505,000010084.jpg,000054921.jpg
1555,1974,681,1338,428,000010084.jpg,000054921.jpg
1555,1755,856,1195,505,000010084.jpg,000054922.jpg
1555,1974,681,1338,428,000010084.jpg,000054922.jpg
1555,676,862,705,616,000008360.jpg,000054921.jpg
1555,802,862,749,661,000008360.jpg,000054921.jpg
1555,676,862,705,616,000008360.jpg,000054922.jpg
1555,802,862,749,661,000008360.jpg,000054922.jpg
1555,326,185,46,127,000004432.jpg,000054921.jpg
1555,343,202,30,187,000004432.jpg,000054921.jpg
1555,326,185,46,127,000004432.jpg,000054922.jpg
1555,343,202,30,187,000004432.jpg,000054922.jpg
1555,444,103,109,65,000000812.jpg,000054921.jpg
1555,456,81,103,63,000000812.jpg,000054921.jpg
1555,444,103,109,65,000000812.jpg,000054922.jpg
1555,456,81,103,63,000000812.jpg,000054922.jpg
1044,169,130,8,94,000008054.jpg,000081979.jpg
1044,177,98,13,84,000008054.jpg,000081979.jpg
1044,169,130,8,94,000008054.jpg,000081980.jpg
1044,177,98,13,84,000008054.jpg,000081980.jpg
